precinctCode,precinct,election,percentVoting
506,ST ANDREWS 6,vhgen16,75.02
507,ST ANDREWS 7,vhgen16,70.51
508,ST ANDREWS 8,vhgen16,59.46
509,ST ANDREWS 9,vhgen16,60.02
510,ST ANDREWS 10,vhgen16,69.52
511,ST ANDREWS 11,vhgen16,79.56
512,ST ANDREWS 12,vhgen16,76.75
513,ST ANDREWS 13,vhgen16,64.44
514,ST ANDREWS 14,vhgen16,70.4
515,ST ANDREWS 15,vhgen16,51.29
516,ST ANDREWS 16,vhgen16,68.23
517,ST ANDREWS 17,vhgen16,71.44
518,ST ANDREWS 18,vhgen16,58.97
519,ST ANDREWS 19,vhgen16,68.28
520,ST ANDREWS 20,vhgen16,53.53
521,ST ANDREWS 21,vhgen16,59.54
522,ST ANDREWS 22,vhgen16,62.98
523,ST ANDREWS 23,vhgen16,49.22
524,ST ANDREWS 24,vhgen16,56.36
525,ST ANDREWS 25,vhgen16,51.19
526,ST ANDREWS 26,vhgen16,68.06
527,ST ANDREWS 27,vhgen16,66.18
528,ST ANDREWS 28,vhgen16,62.7
529,ST ANDREWS 29,vhgen16,61.32
530,ST ANDREWS 30,vhgen16,56.5
531,ST ANDREWS 31,vhgen16,66.33
532,ST ANDREWS 32,vhgen16,67.36
533,ST ANDREWS 33,vhgen16,76.83
534,ST ANDREWS 34,vhgen16,66.16
535,ST ANDREWS 35,vhgen16,71.58
536,ST ANDREWS 36,vhgen16,68.04
537,ST ANDREWS 37,vhgen16,66.09
601,N CHARLESTON 1,vhgen16,51.89
602,N CHARLESTON 2,vhgen16,47.9
603,N CHARLESTON 3,vhgen16,67.07
604,N CHARLESTON 4,vhgen16,59.07
605,N CHARLESTON 5,vhgen16,49.93
606,N CHARLESTON 6,vhgen16,53.92
607,N CHARLESTON 7,vhgen16,42.94
608,N CHARLESTON 8,vhgen16,57.11
609,N CHARLESTON 9,vhgen16,57.32
610,N CHARLESTON 10,vhgen16,49.9
611,N CHARLESTON 11,vhgen16,68.88
612,N CHARLESTON 12,vhgen16,73.39
613,N CHARLESTON 13,vhgen16,52.32
614,N CHARLESTON 14,vhgen16,64.06
615,N CHARLESTON 15,vhgen16,52.1
616,N CHARLESTON 16,vhgen16,55.66
617,N CHARLESTON 17,vhgen16,46.31
618,N CHARLESTON 18,vhgen16,54.57
619,N CHARLESTON 19,vhgen16,63.01
620,N CHARLESTON 20,vhgen16,69.96
621,N CHARLESTON 21,vhgen16,55.77
622,N CHARLESTON 22,vhgen16,52.29
623,N CHARLESTON 23,vhgen16,58.43
624,N CHARLESTON 24,vhgen16,54.88
625,N CHARLESTON 25,vhgen16,55.27
626,N CHARLESTON 26,vhgen16,57.34
627,N CHARLESTON 27,vhgen16,49.73
628,N CHARLESTON 28,vhgen16,42.5
629,N CHARLESTON 29,vhgen16,48.99
630,N CHARLESTON 30,vhgen16,61.08
 &nbsp; ,Totals,vhgen16,63.99
4,AWENDAW,vhgen14,48.33
8,CHRIST CHURCH,vhgen14,46.67
10,ISLE OF PALMS 1A,vhgen14,47.74
11,ISLE OF PALMS 1B,vhgen14,45.39
12,ISLE OF PALMS 1C,vhgen14,54.18
32,SULLIVANS ISLAND,vhgen14,51.68
100,MCCLELLANVILLE,vhgen14,47.74
102,DEER PARK 1A,vhgen14,31.12
103,DEER PARK 1B,vhgen14,31.32
104,DEER PARK 2A,vhgen14,31.14
105,DEER PARK 2B,vhgen14,29.54
106,DEER PARK 2C,vhgen14,45.88
107,DEER PARK 3,vhgen14,35.91
110,LINCOLNVILLE,vhgen14,39.84
132,LADSON,vhgen14,33.93
173,EDISTO ISLAND,vhgen14,49.71
174,WADMALAW ISLAND 1,vhgen14,51.05
175,WADMALAW ISLAND 2,vhgen14,57.18
180,KIAWAH ISLAND,vhgen14,54.41
181,TOWN OF SEABROOK,vhgen14,58.52
